ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_assay,Metadata_genotype,Metadata_minutes,Metadata_wellNum,Metadata_wellNum,Math_area_micronsq,TrackObjects_Label_10
3,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,28120.5,2.0
3,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,3822.75,2.0
3,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,25125.75,3.0
3,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,12591.0,4.0
3,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,22090.5,5.0
3,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,12019.5,6.0
3,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,8950.5,7.0
3,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,21766.5,8.0
3,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,2963.25,9.0
3,11,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,852.75,nan
4,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,7998.75,1.0
4,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,32186.25,2.0
4,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,25479.0,3.0
4,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,12678.75,4.0
4,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,22243.5,5.0
4,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,12161.25,6.0
4,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,8984.25,7.0
4,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,22061.25,8.0
4,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,2990.25,9.0
4,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--15min.tif,0,0,control,mutant,15,001,001,904.5,nan
5,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,7949.25,1.0
5,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,32267.25,2.0
5,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,25497.0,3.0
5,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,12692.25,4.0
5,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,22232.25,5.0
5,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,12199.5,6.0
5,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,8930.25,7.0
5,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,22070.25,8.0
5,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,2992.5,9.0
5,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--20min.tif,0,0,control,mutant,20,001,001,938.25,nan
6,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,7830.0,1.0
6,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,32535.0,2.0
6,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,25728.75,3.0
6,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,12816.0,4.0
6,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,22452.75,5.0
6,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,12370.5,6.0
6,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,8997.75,7.0
6,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,22450.5,8.0
6,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,3015.0,9.0
6,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--25min.tif,0,0,control,mutant,25,001,001,1014.75,nan
7,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,7895.25,1.0
7,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,32647.5,2.0
7,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,25787.25,3.0
7,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,12867.75,4.0
7,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,22565.25,5.0
7,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,12440.25,6.0
7,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,9078.75,7.0
7,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,22421.25,8.0
7,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,3042.0,9.0
7,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--30min.tif,0,0,control,mutant,30,001,001,1021.5,nan
8,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,7854.75,1.0
8,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,32769.0,2.0
8,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,26014.5,3.0
8,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,12921.75,4.0
8,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,22623.75,5.0
8,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,12458.25,6.0
8,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,9081.0,7.0
8,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,22596.75,8.0
8,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,3026.25,9.0
8,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--35min.tif,0,0,control,mutant,35,001,001,1093.5,nan
9,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,7929.0,1.0
9,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,33075.0,2.0
9,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,26275.5,3.0
9,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,13128.75,4.0
9,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,22893.75,5.0
9,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,12627.0,6.0
9,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,9159.75,7.0
9,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,22779.0,8.0
9,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,3060.0,9.0
9,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--40min.tif,0,0,control,mutant,40,001,001,1125.0,nan
10,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,7881.75,1.0
10,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,32998.5,2.0
10,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,26255.25,3.0
10,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,13113.0,4.0
10,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,22839.75,5.0
10,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,12609.0,6.0
10,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,9072.0,7.0
10,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,22817.25,8.0
10,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,3098.25,9.0
10,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--45min.tif,0,0,control,mutant,45,001,001,1136.25,nan
11,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,7823.25,1.0
11,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,33198.75,2.0
11,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,26320.5,3.0
11,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,13151.25,4.0
11,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,22887.0,5.0
11,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,12690.0,6.0
11,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,9087.75,7.0
11,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,22914.0,8.0
11,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,3069.0,9.0
11,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--50min.tif,0,0,control,mutant,50,001,001,1156.5,nan
12,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,7897.5,1.0
12,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,33255.0,2.0
12,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,26446.5,3.0
12,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,13153.5,4.0
12,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,23010.75,5.0
12,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,12768.75,6.0
12,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,9036.0,7.0
12,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,23094.0,8.0
12,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,3100.5,9.0
12,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--55min.tif,0,0,control,mutant,55,001,001,1170.0,nan
13,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,26394.75,1.0
13,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,4416.75,nan
13,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,7033.5,3.0
13,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,12739.5,nan
13,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,9342.0,5.0
13,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,16479.0,6.0
13,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,13659.75,nan
13,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,16272.0,8.0
13,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,11232.0,9.0
13,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--00min.tif,0,0,control,corrected1,00,002,002,11677.5,10.0
14,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,26439.75,1.0
14,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,4412.25,nan
14,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,7134.75,3.0
14,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,13234.5,nan
14,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,8775.0,5.0
14,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,17021.25,6.0
14,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,14109.75,nan
14,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,16429.5,8.0
14,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,11349.0,9.0
14,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--05min.tif,0,0,control,corrected1,05,002,002,11799.0,10.0
15,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--10min.tif,0,0,control,corrected1,10,002,002,28595.25,1.0
15,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--10min.tif,0,0,control,corrected1,10,002,002,4797.0,nan
15,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--10min.tif,0,0,control,corrected1,10,002,002,7863.75,3.0
15,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--10min.tif,0,0,control,corrected1,10,002,002,14802.75,nan
15,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--10min.tif,0,0,control,corrected1,10,002,002,9391.5,5.0
15,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--10min.tif,0,0,control,corrected1,10,002,002,17977.5,6.0
15,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--10min.tif,0,0,control,corrected1,10,002,002,15066.0,nan
15,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--10min.tif,0,0,control,corrected1,10,002,002,17068.5,8.0
15,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W002--corrected1--control/W002--corrected1--control--10min.tif,0,0,control,corrected1,10,002,002,12282.75,9.0
